Instance,Opt Gap,Time(s)
inst_250commods_24_3.txt,0.009738549,0.3355058
inst_250commods_24_4.txt,0.005077369,0.9786967
inst_250commods_24_5.txt,0.004886044,0.4852851
inst_250commods_30_1.txt,0,0.3208463
inst_250commods_30_2.txt,0.002778014,0.3847798
inst_250commods_30_3.txt,0.00327042,0.3806498
inst_250commods_30_4.txt,0.008516535,0.3032487
inst_250commods_30_5.txt,0.009595968,0.3604057
inst_250commods_36_1.txt,0.007805669,0.3063735
inst_250commods_36_2.txt,0.002987885,0.3661067
inst_250commods_36_3.txt,0,0.308668
inst_250commods_36_4.txt,0.00268841,0.4426479
inst_250commods_36_5.txt,0.007061642,0.4024005
inst_250commods_42_1.txt,0.001199684,0.4243547
inst_250commods_42_2.txt,0.004135306,0.3708965
inst_250commods_42_3.txt,0.00813855,0.3359537
inst_250commods_42_4.txt,0.008695807,0.4736659
inst_250commods_42_5.txt,0.00790245,0.4374327
inst_250commods_48_1.txt,0.006677541,0.4056646
inst_250commods_48_2.txt,0.008128602,0.4786947
inst_250commods_48_3.txt,0.009933214,0.6084533
inst_250commods_48_4.txt,0,0.4322108
inst_250commods_48_5.txt,0.004032972,0.3360315
inst_250commods_6_1.txt,0.007466395,0.2353657
inst_250commods_6_2.txt,0,0.2390388
inst_250commods_6_3.txt,0.009732273,0.2411896
inst_250commods_6_4.txt,0.001684537,0.3119299
inst_250commods_6_5.txt,0,0.2302691
inst_300commods_12_1.txt,8.33E-04,0.2866994
inst_300commods_12_2.txt,0,0.2738676
inst_300commods_12_3.txt,0.003505022,0.2837801
inst_300commods_12_4.txt,0.001757715,0.2719185
inst_300commods_12_5.txt,0.003249637,0.273291
inst_300commods_18_1.txt,1.33E-15,0.2595015
inst_300commods_18_2.txt,0.003597861,0.3106976
inst_300commods_18_3.txt,9.00E-16,0.286674
inst_300commods_18_4.txt,0.00359205,0.3414047
inst_300commods_18_5.txt,1.11E-15,0.2823678
inst_300commods_24_1.txt,0.009513952,0.3596269
inst_300commods_24_2.txt,0.007026087,0.8817652
inst_300commods_24_3.txt,0.008775866,0.423982
inst_300commods_24_4.txt,0.009703403,0.4900051
inst_300commods_24_5.txt,0.008675976,0.4731777
inst_300commods_30_1.txt,0.00850821,0.4405753
inst_300commods_30_2.txt,0.00853151,0.4696146
inst_300commods_30_3.txt,0.008248227,0.9575955
inst_300commods_30_4.txt,0.007331589,0.5164376
inst_300commods_30_5.txt,0.006615362,0.557173
inst_300commods_36_1.txt,0.007962393,0.4154931
inst_300commods_36_2.txt,0.007089943,0.5009638
inst_300commods_36_3.txt,0.009404024,0.6143697
inst_300commods_36_4.txt,0.004638421,0.6147915
inst_300commods_36_5.txt,0.002106197,0.5567882
inst_300commods_42_1.txt,0.006878568,0.4561271
inst_300commods_42_2.txt,0.003664239,0.5436206
inst_300commods_42_3.txt,0.007142624,0.4393143
inst_300commods_42_4.txt,0.003967666,0.472586
inst_300commods_42_5.txt,0.006366495,0.4466826
inst_300commods_48_1.txt,0.00115628,0.4729155
inst_300commods_48_2.txt,0.009305115,0.5042796
inst_300commods_48_3.txt,0.008706137,0.5751908
inst_300commods_48_4.txt,0.009237728,0.972152
inst_300commods_48_5.txt,0.009323728,0.7084013
inst_300commods_6_1.txt,0.005095276,0.2684347
inst_300commods_6_2.txt,8.05E-16,0.2675541
inst_300commods_6_3.txt,8.03E-16,0.293716
inst_300commods_6_4.txt,5.64E-16,0.2930543
inst_300commods_6_5.txt,0,0.2712016
inst_350commods_12_1.txt,0,0.2926309
inst_350commods_12_2.txt,0.001684361,0.3168298
inst_350commods_12_3.txt,0,0.3203542
inst_350commods_12_4.txt,0.001730303,0.3370531
